token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0.33422607,0.993065,1.1538194,1.1892229,1.2010566,0.9757924,0.45679343,0.4160509,0.3290373,1.8546542,1.8618275,1.7017924,1.6702513,1.4505911,0.42292154,0.38334477,0.28457004,2.0016894,1.9712049,1.8890702,1.8103379,1.5843691,0.3790328,0.3966105,0.2729845,1.8304602,2.0652301,2.040948,2.0409572,1.1226236,0.33134747,0.40066642,0.2674213,1.691597,2.255266,2.1538146,2.1454918,0.9280616,0.32744712,0.39152932,0.26924658,1.2461988,1.8254725,2.5826628,2.0202339,0.53613657,0.2628662,0.3742087,0.24925296,0.46201003,1.7724249,2.1659403,1.8993648,0.4513439,0.26088923,0.36745483,0.053038508,0.011683628,1.0598962,0.870033,0.8855623,0.023548335,0.0,0.29082483
3,0.3069172,1.2474802,1.5705247,1.5159209,1.4615462,0.9071125,0.36938405,0.4212854,0.2874983,1.9541379,1.9787585,1.8301624,1.876546,1.5833417,0.4771291,0.3860644,0.2774983,1.818213,1.987218,1.9530131,2.1089318,1.6858413,0.4004575,0.39830655,0.2738238,1.835961,2.1334097,2.1468487,2.1240754,1.3447487,0.32881665,0.40245968,0.27141845,1.3945975,1.9573716,2.498488,2.1356938,0.6564546,0.2880516,0.40019417,0.27287054,0.8959278,2.003362,2.5577857,2.01639,0.44790113,0.27251953,0.381114,0.25081933,0.2936694,1.6637157,2.0621614,1.6586016,0.5109138,0.25019175,0.36587322,0.053440228,0.0,0.9032184,0.9375423,0.62353235,0.0,0.0,0.2907812
4,0.49656373,2.5860732,2.9454873,2.9024353,2.9276047,2.363239,0.56493115,0.411577,0.3546453,2.74199,3.067084,2.9432278,2.8820896,2.1728053,0.36817455,0.37983215,0.27486628,2.4769075,2.822545,2.7986503,2.7707868,2.1307776,0.37309825,0.3945204,0.27143735,1.9630398,2.9012785,2.4813962,2.6189702,1.6341403,0.277678,0.39531612,0.2650258,1.931111,2.2974708,1.4838234,2.2285426,0.9803009,0.32722723,0.38431883,0.26799566,1.2608346,1.852666,2.619194,2.200085,0.60827124,0.26036495,0.37133884,0.24964796,0.4165256,2.0478253,2.5106153,2.185236,0.42901486,0.23526488,0.35799146,0.052820742,0.0017586797,1.0810024,1.0503961,0.58871096,0.0,0.0,0.28272146
5,0.30562168,1.4696999,1.9329613,1.965021,1.9122847,1.2882862,0.51662374,0.414689,0.28636312,2.3070881,2.5423403,2.3635266,2.1735623,1.5679992,0.39318055,0.38003558,0.27853763,2.1945233,2.3868227,2.1516209,2.0794144,1.564629,0.36048383,0.3911574,0.2733627,2.024176,2.337698,2.1793802,2.0096257,1.105984,0.38766098,0.3931114,0.2695648,1.6321396,2.1315658,2.2737262,1.8493508,0.66813093,0.31407535,0.38794905,0.2751941,0.99171114,1.7315446,2.3713787,1.8773483,0.39319795,0.26380533,0.375481,0.25125855,0.28569967,1.6651073,2.1144426,1.3974289,0.3322817,0.24501012,0.3665163,0.05290702,0.0,0.58506423,0.3951304,0.40606183,0.0,0.0,0.29520327
6,0.30672854,1.323047,1.6824366,1.6369351,1.6326419,1.4852718,0.450324,0.41716415,0.2873367,1.7366871,2.0693738,1.8530566,1.8334368,1.6236761,0.4611671,0.38675624,0.28284568,1.6930982,1.981728,1.9058021,1.8768972,1.6258049,0.4311043,0.39966965,0.28096777,1.3405509,1.890951,1.8691164,1.9102663,1.5894296,0.36970288,0.40321714,0.27043372,1.2119722,1.7981591,1.8142337,1.8298889,0.6674625,0.26891017,0.39506912,0.2717662,0.9051659,1.75464,2.2714243,1.9255844,0.35567284,0.26705986,0.37510067,0.25242066,0.29469526,1.5901093,1.9461266,1.2957164,0.3665709,0.2480207,0.36566603,0.05433865,0.0,0.67620045,0.5126823,0.43450713,0.0,0.0,0.28876245
9,0.9611343,2.029036,2.195973,2.4858239,2.4059021,1.896042,0.52685875,0.42563277,1.2230481,2.378183,2.4376755,2.6748857,2.678707,2.5328965,0.6081258,0.4551279,0.81213415,2.2712543,2.351632,2.6291142,2.6729107,2.4377182,0.64976835,0.43128246,0.36611348,1.9001452,2.273416,2.4699364,2.3460062,1.6515039,0.39263362,0.38722128,0.26914424,1.8715111,2.2555814,2.2907078,2.3552902,0.8636373,0.29907304,0.3939017,0.2707442,1.2402148,1.8953549,2.3577206,2.1123931,0.5804464,0.26219958,0.37421852,0.24821778,0.4236688,1.8032541,2.32764,1.9212741,0.44727886,0.27130544,0.36602336,0.052711457,0.0002925545,0.89993083,0.8925731,0.68652815,0.0,0.0,0.29441553
10,0.32823992,1.8534032,2.7775946,2.9913685,3.0338461,2.3604648,0.55709684,0.4116196,0.30652475,2.7523572,2.8972318,2.8052566,2.6875212,2.1880512,0.3503948,0.37826347,0.2767331,2.5075212,2.6968927,2.8569772,2.6944616,1.9953111,0.40894163,0.3858388,0.27193272,1.3526766,1.6709898,2.0255368,1.6895033,1.0699112,0.30957276,0.38605505,0.26487142,1.2075738,1.33965,1.017413,1.1908339,0.6882332,0.35512584,0.38286465,0.2676295,1.1367706,1.2718661,2.0415394,1.3508117,0.465684,0.2577793,0.37076145,0.24961774,0.40960258,1.6316755,2.2205923,2.2107384,0.3631987,0.24275358,0.35504985,0.05357851,0.0,1.101583,1.102768,0.74754673,0.0,0.0,0.27710402
11,1.0606947,2.5300634,3.2970722,3.208603,3.1778023,2.374316,0.41585988,0.40578496,1.3391678,2.8798933,3.2279818,3.1438708,3.2441685,2.7884965,0.4888851,0.40451378,1.0645518,2.4787621,2.8966055,2.818492,2.7515037,1.7995782,0.3568762,0.37648392,0.34265614,1.1847626,2.1279376,2.3543665,2.1770234,0.96367097,0.2829244,0.39057827,0.26912916,1.0141209,1.7775149,2.041809,1.6328648,0.40421432,0.27948695,0.38452,0.26904368,0.8094939,1.6042002,2.4589064,1.7920727,0.4104368,0.26230204,0.37308067,0.25161445,0.2829721,1.8397893,2.3943985,1.9452053,0.39913762,0.2382391,0.3597706,0.05285284,0.0,0.8970134,0.91095006,0.4916308,0.0,0.0,0.28429163
12,0.2983023,0.2837432,0.2933997,0.2976612,0.30179912,0.29220432,0.2690844,0.40312165,0.28205085,0.3765759,0.72848463,1.2425807,1.4083695,0.86473346,0.3750329,0.37281173,0.27697438,0.77320737,1.4820228,1.8808557,1.843268,1.047405,0.3877036,0.38352436,0.27665567,1.1721449,1.889022,1.9481968,1.863458,0.7593082,0.29461902,0.3889097,0.26609188,1.2492775,1.7941116,1.9394766,1.9211258,0.46226072,0.2730263,0.38485044,0.26710367,0.91005135,1.6420296,2.3751912,1.8853048,0.3548196,0.26041043,0.37301362,0.25285745,0.29319555,1.768893,2.2436707,1.5656677,0.37164617,0.2430255,0.36242747,0.053577185,0.0,0.6424128,0.4176998,0.42362887,7.2717667e-06,0.0,0.28822285
13,0.45253223,1.387309,1.6106858,1.6621358,1.8501638,1.371416,0.44405198,0.41460145,0.5711791,2.098812,2.5453238,2.6294806,2.5316174,1.9575526,0.40765566,0.38109845,0.38888693,1.8575844,2.0422838,2.0420003,1.9958969,1.5861201,0.3552125,0.38951236,0.27818477,1.9257826,2.2532203,2.2688644,2.2261572,1.2675846,0.3082506,0.38930333,0.265468,1.8368381,2.096093,2.3082051,2.2258828,0.8439995,0.32074678,0.38318324,0.26811308,1.2340672,1.9215578,2.5307014,2.1844497,0.5804938,0.2614864,0.3721615,0.25194502,0.4460631,1.9091371,2.3412447,1.9374431,0.395028,0.25342458,0.3705439,0.054252982,0.0016935766,1.1580008,1.1389797,0.63563,0.0,0.0,0.2946896
14,0.5244096,1.5678953,1.8659238,1.9965814,1.9299129,1.2295873,0.47781855,0.41487545,0.9051198,2.3888578,2.8694632,2.8519092,2.8305635,2.2905035,0.8747914,0.5074367,0.44085777,1.7695855,2.199218,2.4089139,2.0357869,1.704414,0.5315927,0.35853386,0.2772826,1.3575585,2.376313,2.4336302,2.2721922,0.9603269,0.30243874,0.3962556,0.27214718,1.2206652,2.2272751,2.6722972,2.1744645,0.44601947,0.2886936,0.38719404,0.2739672,0.90959585,1.6491517,2.3155017,1.813641,0.3709638,0.26374668,0.372414,0.25175953,0.2949481,1.79922,2.1868744,1.4687461,0.43362844,0.2468894,0.36692363,0.05299349,0.0,0.7603523,0.7263011,0.58511907,0.0,0.0,0.29272044
