TokenID,Price
9443,7.69
843,5.786666666666666
7139,7.0
19733,7.8
7057,4.518133333333333
16124,6.7
19150,9.99
18198,0.0
1628,12.55
14002,8.99
9626,11.99
11782,11.333333333333334
11526,5.925
10208,6.275
19723,8.9
6931,7.5
13047,6.93
13897,4.89
1920,5.3149999999999995
5002,8.75
2473,5.48
4736,7.45
18086,7.7
19857,4.6225000000000005
14716,8.0
12924,7.15
3480,6.499333333333333
16869,10.0
7775,4.8
17530,7.59
10585,8.47
5938,5.0958
14854,7.29354338723483
8241,22.0
3300,7.19
16025,5.55
16397,5.624995
13526,0.0
19928,5.725
17654,7.53
871,5.71
4810,5.890000000000001
17193,0.0
14801,4.624
4490,5.85
10104,6.99
15205,6.99
1622,5.53125
4425,0.0
14586,7.085
15916,5.300000000000001
10265,5.29
17921,8.9
14847,7.0
9969,7.37
11218,6.48
18693,0.0
5337,5.7381
18914,11.8
729,6.65
19021,25.0
2617,13.99
15940,7.88
15068,5.6206
2786,10.0
17727,5.046663333333334
11152,17.74
17463,6.3
15385,6.59
18069,17.0
4816,4.4695
13126,8.5
18847,5.475
12408,0.0
5085,5.9236249999999995
529,7.270030499999998
3493,6.174694039260142
12450,6.5
15242,0.0
18351,6.3
7962,5.88
19090,5.1899999999999995
12503,6.49
6228,6.2
4772,8.99
1646,6.35
7379,0.0
9840,0.0
9830,6.99
11979,8.5
2705,6.38
17524,0.0
15918,4.2
13009,6.0
10044,4.7675
17624,29.0
8256,4.996666666666666
5100,6.0
16418,6.99
4807,5.9
6035,22.4998
10506,5.1690000000000005
17210,6.723333333333334
2688,6.0
19067,6.195
19236,5.95
550,4.886666666666667
15769,4.0995
2331,0.0
8751,6.339666666666666
7996,35.0
11190,7.45
18864,4.65
12618,4.96775
2231,6.115833333333334
15643,5.45
417,9.49
2505,4.395
19780,4.08
10710,4.9
13265,4.9
12709,5.34
1615,0.0
10264,5.5
18304,0.0
2001,7.0
4441,0.0
11324,5.38
17805,5.84
18993,4.56
14339,5.0
7053,4.458
13169,4.4750000000000005
7691,4.0840000000000005
